cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
256,448,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,301,1,8.5161,flydsl_gemm2_abf16_wbf16_bf16_t96x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,220.65,977.33
256,456,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,121,1,9.6885,flydsl_gemm2_abf16_wbf16_bf16_t96x64x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,197.41,866.67
256,488,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,121,1,9.6501,flydsl_gemm2_abf16_wbf16_bf16_t96x64x64_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,212.1,900.68
256,496,4096,512,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,301,1,8.7233,flydsl_gemm2_abf16_wbf16_bf16_t96x64x128_split_k1_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,238.49,1004.84
256,1,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,47,8,9.1452,flydsl_gemm2_abf16_wbf16_bf16_t32x128x64_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,3.21,3212.46
256,2,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,47,8,8.7896,flydsl_gemm2_abf16_wbf16_bf16_t32x128x64_split_k8_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,6.68,3344.52
256,4,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,215,4,8.961,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,13.11,3284.66
256,8,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,215,4,9.4235,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0,24.92,3131.27
256,16,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,10.6246,auto,0.0,44.21,2791.17
256,32,7168,2048,False,torch.bfloat16,torch.bfloat16,False,False,triton,0,0,11.3815,auto,0.0,82.55,2631.46
