cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,544,2240,7168,ck,17,0,29.9084,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,584.09,748.71,0.0
256,544,8192,1536,ck,14,1,19.3656,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,706.93,1153.15,0.0001
256,544,11264,1536,ck,13,1,22.4778,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,837.45,1352.1,0.0
256,576,3072,1536,ck,11,1,10.5727,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,514.14,864.71,0.0
256,576,4096,512,ck,11,0,6.4566,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,374.18,1101.3,0
256,576,7168,2048,ck,14,3,17.6484,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,958.24,1366.54,0.0001
256,576,4608,7168,asm,32,1,36.4035,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1045.25,1166.57,0.0
256,576,7168,2304,ck,14,1,20.0346,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,949.63,1302.73,0.0
256,576,128,7168,asm,6,7,9.4592,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,111.74,549.07,0.0087
256,576,2112,7168,ck,17,0,29.3292,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,594.63,739.9,0
256,576,2240,7168,ck,17,0,29.4991,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,627.03,771.74,0
256,576,8192,1536,ck,14,3,19.2608,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,752.59,1189.19,0.0
256,576,11264,1536,ck,13,3,22.5761,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,882.85,1380.33,0.0
256,608,3072,1536,ck,11,0,10.6415,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,539.19,882.21,0.0
256,608,4096,512,ck,11,0,6.5322,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,390.39,1131.19,0
256,608,7168,2048,ck,14,0,22.1034,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,807.61,1114.83,0.0001
256,608,4608,7168,asm,32,1,36.8876,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1088.84,1165.48,0.0
256,608,7168,2304,ck,14,1,24.7051,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,812.88,1078.0,0.0
256,608,128,7168,asm,7,8,9.4973,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_32x128E,117.47,571.88,0.0079
256,608,2112,7168,ck,12,0,30.4959,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,603.65,723.54,0.0
256,608,2240,7168,ck,12,0,31.2891,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,624.0,739.5,0.0
256,608,8192,1536,ck,14,0,19.506,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,784.42,1203.64,0.0001
256,608,11264,1536,ck,13,0,22.9322,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,917.43,1392.47,0.0
256,640,3072,1536,ck,17,1,11.0174,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,548.21,874.42,0.0
256,640,4096,512,ck,12,0,6.9388,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,386.86,1105.05,0
256,640,7168,2048,ck,14,3,21.8009,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,861.91,1154.35,0.0001
256,640,4608,7168,asm,32,1,38.4839,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_96x128E,1098.6,1130.76,0.0
256,640,7168,2304,ck,14,3,24.4852,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,863.35,1109.43,0.0001
256,640,128,7168,asm,15,8,9.017,_ZN5aiter42fp8gemm_bf16_blockscale_BpreShuffle_48x128E,130.24,628.69,0.0138
