cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,512,12800,5120,22,0,42.4981,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,1579.1,1110.31,0.0
256,512,51200,5120,21,0,105.2133,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2551.35,1756.54,0.0
256,1024,800,5120,23,0,46.2669,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,181.31,136.34,0.0
256,1024,5120,1280,22,0,13.4783,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,995.81,1069.71,0.0
256,1024,5120,5120,21,0,44.3527,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,1210.46,591.04,0.0
256,1024,5120,6400,23,0,33.5992,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_224x256E,1997.34,897.24,0.0
256,1024,5120,25600,22,0,171.1837,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,1568.11,520.66,0.0
256,1024,6400,5120,22,0,43.1962,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,1553.58,743.41,0.0
256,1024,12800,5120,24,0,57.2077,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2346.15,1076.85,0.0
256,1024,51200,5120,24,0,187.2715,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,2866.81,1273.82,0.0
256,2048,5120,1280,22,0,15.4982,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,1732.04,1649.16,0.0
256,2048,5120,5120,21,0,46.2885,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2319.67,849.49,0.0
256,2048,5120,6400,24,0,41.7888,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3211.81,1050.74,0.0
256,2048,5120,25600,22,0,174.6649,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_192x256E,3073.72,645.36,0.0
256,2048,6400,5120,21,0,46.4622,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2888.75,1029.68,0.0
256,2048,12800,5120,21,0,99.5665,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2696.04,908.33,0.0
256,2048,51200,5120,24,0,329.4363,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3259.33,1050.37,0.0
256,4096,800,5120,21,0,39.6258,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,846.78,481.69,0.0
256,4096,5120,1280,21,0,29.7493,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,1804.65,1608.15,0.0
256,4096,5120,5120,21,0,82.8112,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_128x512E,2593.23,791.39,0.0
256,4096,5120,6400,24,0,78.0839,_ZN5aiter42f4gemm_bf16_per1x32Fp4_BpreShuffle_256x256E,3437.78,914.84,0.0
